Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/10/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.21268,35111,3185.00,3168.0000,No,1102385659,99.54,100.00,1102385659.00,1102385659.00,0.79931,34763,10/10/2021
POALIM,POLI,662577,IL0006625771,5.11264,40214,3009.00,3023.0000,No,1336452973,88.65,100.00,1336452973.00,1336452973.00,0.68449,35815,10/10/2021
LEUMI,LUMI,604611,IL0006046119,5.07130,41829,2879.00,2905.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.65274,42202,10/10/2021
NICE,NICE,273011,IL0002730112,4.57729,56165,88980.00,88110.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.43877,55616,10/10/2021
DISCOUNT,DSCT,691212,IL0006912120,4.01057,21593,1855.00,1867.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,21732,10/10/2021
ICL,ICL,281014,IL0002810146,3.79671,34069,2653.00,2653.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,18479,10/10/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.66897,19753,14490.00,14460.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,19687,10/10/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.17129,28489,11110.00,11120.0000,No,256426213,58.30,60.00,256134437.00,153680662.20,1,16624,10/10/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.39429,12891,23020.00,23260.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,10458,10/10/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.39272,36806,30350.00,30000.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10962,10/10/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.37649,12795,18940.00,18890.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,11924,10/10/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.30596,20692,46810.00,47210.0000,No,44203756,55.70,60.00,44203756.00,26522253.60,1,11624,10/10/2021
TOWER,TSEM,1082379,IL0010823792,1.96583,10610,9780.00,9872.0000,No,108489058,100.00,100.00,108219239.00,108219239.00,1,10710,10/10/2021
NOVA,NVMI,1084557,IL0010845571,1.74861,9414,33200.00,33290.0000,No,28356397,94.04,100.00,28356397.00,28356397.00,1,8877,10/10/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.62876,8769,5048.00,5145.0000,No,173714485,84.57,100.00,173713785.00,173713785.00,1,7559,10/10/2021
BEZEQ,BEZQ,230011,IL0002300114,1.60713,10816,391.10,389.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7874,10/10/2021
MELISRON,MLSR,323014,IL0003230146,1.38840,12458,26250.00,26720.0000,No,47460339,48.44,60.00,47460339.00,28476203.40,1,6143,10/10/2021
FIBI BANK,FIBI,593038,IL0005930388,1.35850,12190,12150.00,12270.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6357,10/10/2021
MIVNE,MVNE,226019,IL0002260193,1.32160,8894,1113.00,1117.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,6817,10/10/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.28734,6971,754.00,765.0000,No,924537018,98.23,100.00,919221028.00,919221028.00,1,6948,10/10/2021
SHUFERSAL,SAE,777037,IL0007770378,1.28526,6920,2608.00,2583.0000,No,265326677,99.94,100.00,265326677.00,265326677.00,1,6849,10/10/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.24120,8353,1212.00,1198.0000,No,689204537,60.75,80.00,689204537.00,551363629.60,1,5016,10/10/2021
BIG,BIG,1097260,IL0010972607,1.09675,9845,46580.00,46530.0000,No,21134810,51.19,60.00,21127824.00,12676694.40,1,5034,10/10/2021
PHOENIX,PHOE,767012,IL0007670123,1.06475,9555,3785.00,3777.0000,No,252433777,58.77,60.00,252423184.00,151453910.40,1,5603,10/10/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.04966,7064,3989.00,3974.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4327,10/10/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.98569,8845,114890.00,114200.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,4286,10/10/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.91151,8180,1902.00,1900.0000,No,430062223,53.29,60.00,430026691.00,258016014.60,1,4354,10/10/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.91003,4900,7243.00,7271.0000,No,67645757,84.99,100.00,67644867.00,67644867.00,1,4180,10/10/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.89822,10747,9248.00,9201.0000,No,116207835,42.82,45.00,116204138.00,52291862.10,1,4578,10/10/2021
ELECTRA,ELTR,739037,IL0007390375,0.86919,7799,204070.00,202680.0000,No,3821918,51.88,60.00,3821918.00,2293150.80,1,4019,10/10/2021
HAREL,HARL,585018,IL0005850180,0.85718,7682,3595.00,3512.0000,No,213654486,53.21,60.00,213952323.00,128371393.80,1,3993,10/10/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.81381,7302,5866.00,5877.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3834,10/10/2021
AMOT,AMOT,1097278,IL0010972789,0.81157,10414,2355.00,2368.0000,No,442207956,43.95,45.00,412307956.00,185538580.20,1,4602,10/10/2021
CAMTEK,CAMT,1095264,IL0010952641,0.80736,5433,12430.00,12780.0000,No,43712486,61.08,80.00,43712486.00,34969988.80,1,3412,10/10/2021
FORMULA,FORTY,256016,IL0002560162,0.77154,5192,33950.00,33890.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,3240,10/10/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.74940,8966,2511.00,2539.0000,No,357079582,39.69,45.00,357069511.00,160681279.95,1,3598,10/10/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.67830,8116,7430.00,7319.0000,No,109227778,43.69,45.00,109223843.00,49150729.35,1,3493,10/10/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.65749,3540,37100.00,38000.0000,No,9541472,99.98,100.00,9541472.00,9541472.00,1,3625,10/10/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.65138,5845,10670.00,10730.0000,No,54779020,55.38,60.00,54779020.00,32867412.00,1,3255,10/10/2021
DANEL,DANE,314013,IL0003140139,0.64683,3482,64500.00,65000.0000,No,5399200,87.38,100.00,5399200.00,5399200.00,1,3067,10/10/2021
FOX,FOX,1087022,IL0010870223,0.64034,5746,42230.00,42270.0000,No,13606183,53.97,60.00,13606183.00,8163709.80,1,3104,10/10/2021
REIT 1,RIT1,1098920,IL0010989205,0.63758,3433,1918.00,1912.0000,No,179252017,98.29,100.00,178971895.00,178971895.00,1,3369,10/10/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.63185,7560,7485.00,7399.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2829,10/10/2021
MEGA OR,MGOR,1104488,IL0011044885,0.61112,4113,11310.00,11600.0000,No,36364246,61.51,80.00,36364246.00,29091396.80,1,2595,10/10/2021
ENERGIX,ENRG,1123355,IL0011233553,0.59058,7069,1450.00,1460.0000,No,487503633,44.44,45.00,487301028.00,219285462.60,1,3163,10/10/2021
KENON,KEN,1134139,SG9999012629,0.58994,7058,13100.00,13150.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,2795,10/10/2021
MATRIX,MTRX,445015,IL0004450156,0.58868,5282,8439.00,8355.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2671,10/10/2021
HILAN,HLAN,1084698,IL0010846983,0.58552,3940,17480.00,17700.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2659,10/10/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.56462,3800,11610.00,11490.0000,No,32729030,71.41,80.00,32729030.00,26183224.00,1,2685,10/10/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.55327,6625,3277.00,3277.0000,No,202160715,41.21,45.00,201998186.00,90899183.70,1,2730,14/09/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.54286,4871,13740.00,13870.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2353,10/10/2021
