Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 28/07/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,6.20715,56936,90200.00,90640.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.53261,57213,04/07/2021
LEUMI,LUMI,604611,IL0006046119,4.98488,36104,2485.00,2500.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.67452,36319,04/07/2021
POALIM,POLI,662577,IL0006625771,4.84690,34347,2570.00,2593.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.68941,30718,04/07/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.22194,20626,15130.00,15380.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,20942,04/07/2021
TEVA,TEVA,629014,IL0006290147,4.08304,31441,2852.00,3195.0000,No,1102426176,99.54,100.00,1096776176.00,1096776176.00,0.6377,35060,04/07/2021
DISCOUNT,DSCT,691212,IL0006912120,3.65497,17856,1534.00,1524.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,17740,04/07/2021
ICL,ICL,281014,IL0002810146,3.61635,29446,2293.00,2333.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16250,04/07/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.10546,25292,9900.00,9900.0000,No,255472255,58.14,60.00,255410966.00,153246579.60,1,14705,04/07/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.79322,13646,20200.00,20430.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12896,04/07/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.53838,12403,22150.00,23230.0000,No,55997579,80.29,100.00,55986436.00,55986436.00,1,10444,04/07/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.28103,18573,42020.00,43290.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,10658,04/07/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.16076,30161,24870.00,25320.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9252,04/07/2021
TOWER,TSEM,1082379,IL0010823792,1.89604,9285,8580.00,8550.0000,No,108219239,100.00,100.00,107959222.00,107959222.00,1,9253,04/07/2021
NOVA,NVMI,1084557,IL0010845571,1.79206,8755,30990.00,30660.0000,No,28250933,94.02,100.00,28250933.00,28250933.00,1,8144,04/07/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.55767,7611,4382.00,4407.0000,No,173681404,84.61,100.00,173661752.00,173661752.00,1,6476,04/07/2021
BEZEQ,BEZQ,230011,IL0002300114,1.53835,9394,339.70,341.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,6902,04/07/2021
SHUFERSAL,SAE,777037,IL0007770378,1.39456,6813,2568.00,2594.0000,No,265303075,99.92,100.00,265303075.00,265303075.00,1,6876,04/07/2021
MELISRON,MLSR,323014,IL0003230146,1.36554,11119,23430.00,23310.0000,No,47454878,48.43,60.00,47454878.00,28472926.80,1,5357,04/07/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.31759,6438,701.40,697.6000,No,917887083,98.22,100.00,917731176.00,917731176.00,1,6289,04/07/2021
MIVNE,MVNE,226019,IL0002260193,1.30967,7998,964.00,961.1000,No,829649286,73.56,80.00,829649286.00,663719428.80,1,5865,04/07/2021
FIBI BANK,FIBI,593038,IL0005930388,1.26054,10264,10230.00,10290.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,5331,04/07/2021
BIG,BIG,1097260,IL0010972607,1.12115,9460,44800.00,45030.0000,No,21116941,51.15,60.00,20376735.00,12226041.00,1,4864,04/07/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.97028,7903,1838.00,1847.0000,No,429952866,53.28,60.00,429835718.00,257901430.80,1,4231,04/07/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.96250,7837,101800.00,101850.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3724,04/07/2021
OPKO HEALTH,OPK,1129543,US68375N1037,0.95391,7988,1159.00,1225.0000,No,689204537,60.80,60.00,670153267.00,402091960.20,1,5133,04/07/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.95186,10334,8898.00,8890.0000,No,116136290,42.79,45.00,116136290.00,52261330.50,1,4418,04/07/2021
PHOENIX,PHOE,767012,IL0007670123,0.94213,7658,3035.00,3065.0000,No,252327671,56.09,60.00,252756689.00,151654013.40,1,4338,04/07/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.90873,4440,6563.00,6400.0000,No,67644867,86.77,100.00,67644867.00,67644867.00,1,3757,04/07/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.87287,5330,3010.00,2962.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,3225,04/07/2021
ELECTRA,ELTR,739037,IL0007390375,0.83814,6874,181000.00,179820.0000,No,3797644,51.57,60.00,3770401.00,2262240.60,1,3522,04/07/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.83218,6776,5443.00,5410.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3530,04/07/2021
AMOT,AMOT,1097278,IL0010972789,0.81357,8834,2144.00,2135.0000,No,412026802,42.75,45.00,411961317.00,185382592.65,1,3761,04/07/2021
HAREL,HARL,585018,IL0005850180,0.79750,6489,3029.00,3033.0000,No,214222623,53.47,60.00,214378773.00,128627263.80,1,3474,04/07/2021
CAMTEK,CAMT,1095264,IL0010952641,0.78715,4807,11110.00,11270.0000,No,43266821,60.68,80.00,43266821.00,34613456.80,1,2959,04/07/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.78478,8521,2387.00,2391.0000,No,356959352,39.67,45.00,356930114.00,160618551.30,1,3386,04/07/2021
DANEL,DANE,314013,IL0003140139,0.77039,3774,69900.00,68740.0000,No,5399200,86.87,100.00,5384340.00,5384340.00,1,3224,04/07/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.76306,3728,39070.00,38700.0000,No,9541472,100.00,100.00,9541472.00,9541472.00,1,3693,04/07/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.71590,7778,7122.00,7162.0000,No,109205689,43.68,45.00,109129035.00,49108065.75,1,3416,04/07/2021
FORMULA,FORTY,256016,IL0002560162,0.70126,4282,28000.00,28500.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,2725,04/07/2021
MATRIX,MTRX,445015,IL0004450156,0.67427,5490,8771.00,8925.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2854,04/07/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.65372,7097,7027.00,6922.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2647,04/07/2021
REIT 1,RIT1,1098920,IL0010989205,0.63691,3112,1740.00,1746.0000,No,178828171,98.44,100.00,178825258.00,178825258.00,1,3074,04/07/2021
FOX,FOX,1087022,IL0010870223,0.63440,5183,38090.00,37920.0000,No,13606183,53.97,60.00,13561311.00,8136786.60,1,2785,04/07/2021
HILAN,HLAN,1084698,IL0010846983,0.63050,3850,17080.00,17000.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2554,04/07/2021
MEGA OR,MGOR,1104488,IL0011044885,0.61687,3767,10360.00,10460.0000,No,36361598,61.32,80.00,36361598.00,29089278.40,1,2332,04/07/2021
ENERGIX,ENRG,1123355,IL0011233553,0.55588,6036,1239.00,1255.0000,No,487193940,44.40,45.00,487075210.00,219183844.50,1,2715,04/07/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.54237,3312,10170.00,10430.0000,No,32431270,71.14,80.00,32567814.00,26054251.20,1,2406,04/07/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.53706,4373,8000.00,8057.0000,No,54661699,55.28,60.00,54661699.00,32797019.40,1,2435,04/07/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.52668,5719,3029.00,3052.0000,No,188824469,41.37,45.00,188772387.00,84947574.15,1,2384,04/07/2021
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.51466,5587,476.00,486.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,2556,04/07/2021
KENON,KEN,1134139,SG9999012629,0.50671,5501,10210.00,10640.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,2262,04/07/2021
ISRACARD,ISCD,1157403,IL0011574030,0.49863,2436,1218.00,1231.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,2462,04/07/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.49724,4049,11420.00,11450.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,1943,04/07/2021
GAV YAM,GVYM,759019,IL0007590198,0.46876,6543,3061.00,3061.0000,No,213757100,25.96,35.00,213757100.00,74814985.00,1,1699,04/07/2021
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.46543,3791,4065.00,4036.0000,No,93255959,54.36,60.00,93227209.00,55936325.40,1,2046,04/07/2021
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.45104,3673,16700.00,16900.0000,No,21991066,52.19,60.00,21991066.00,13194639.60,1,1940,04/07/2021
SUMMIT,SMT,1081686,IL0010816861,0.44527,3626,4910.00,4849.0000,No,73839173,47.98,60.00,73839173.00,44303503.80,1,1718,04/07/2021
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.42986,3500,4894.00,4935.0000,No,71517100,51.29,60.00,71517100.00,42910260.00,1,1810,04/07/2021
PARTNER,PTNR,1083484,IL0010834849,0.42583,2600,1414.00,1414.0000,No,183906409,72.89,80.00,183905513.00,147124410.40,1,1895,04/07/2021
RADA,RADA,1082650,IL0010826506,0.41333,2019,4118.00,4336.0000,No,49035041,100.00,100.00,49035041.00,49035041.00,1,2126,04/07/2021
ALLOT,ALLT,1099654,IL0010996549,0.41058,2006,5669.00,5791.0000,No,35382638,94.69,100.00,35382638.00,35382638.00,1,1940,04/07/2021
DELEK GROUP,DLEKG,1084128,IL0010841281,0.40917,3332,18800.00,18970.0000,No,17721319,47.76,60.00,17721319.00,10632791.40,1,1606,04/07/2021
FATTAL HOLD,FTAL,1143429,IL0011434292,0.40019,4345,28100.00,28330.0000,No,15461573,37.64,45.00,15461541.00,6957693.45,1,1649,04/07/2021
TASE,TASE,1159029,IL0011590291,0.39801,1945,1920.00,1963.0000,No,101328066,80.26,100.00,101271935.00,101271935.00,1,1596,04/07/2021
EQUITAL,EQTL,755017,IL0007550176,0.37811,3079,8474.00,8458.0000,No,36331037,45.67,60.00,36331037.00,21798622.20,1,1403,04/07/2021
MENORA MIV HLD,MMHD,566018,IL0005660183,0.37323,4052,6404.00,6470.0000,No,63271931,35.42,45.00,63271931.00,28472368.95,1,1450,04/07/2021
ELCO,ELCO,694034,IL0006940345,0.36961,5161,18880.00,18980.0000,No,27334263,34.48,35.00,27326230.00,9564180.50,1,1789,04/07/2021
INROM CONST,INRM,1132356,IL0011323560,0.36751,2064,1650.00,1644.0000,No,125074860,87.00,100.00,108814860.00,108814860.00,1,1789,04/07/2021
SELLA REAL EST,SLARL,1109644,IL0011096448,0.36148,1766,860.00,869.2000,No,205399000,97.21,100.00,205345000.00,205345000.00,1,1736,04/07/2021
ISRAEL CANADA,ISCN,434019,IL0004340191,0.35762,3882,1375.00,1380.0000,No,282358986,40.13,45.00,282358986.00,127061543.70,1,1564,04/07/2021
RAMI LEVI,RMLI,1104249,IL0011042491,0.35613,2900,21050.00,21030.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,1729,04/07/2021
DIMRI,DIMRI,1090315,IL0010903156,0.35584,3863,20650.00,20980.0000,No,18707871,36.93,45.00,18707871.00,8418541.95,1,1449,04/07/2021
MAGIC,MGIC,1082312,IL0010823123,0.35290,2873,5860.00,5749.0000,No,49035055,54.37,60.00,49035055.00,29421033.00,1,1533,04/07/2021
COMPUGEN,CGEN,1085208,IL0010852080,0.34564,1689,2018.00,2257.0000,No,83675856,99.93,100.00,83675856.00,83675856.00,1,1887,04/07/2021
G CITY,GCT,126011,IL0001260111,0.32735,3560,2346.00,2387.0000,No,151761642,44.69,45.00,151486852.00,68169083.40,1,1619,04/07/2021
DELTA GALIL,DELG,627034,IL0006270347,0.31796,3454,13520.00,13550.0000,No,25543907,40.74,45.00,25532199.00,11489489.55,1,1410,04/07/2021
ISRAMCO     PU,ISRA,232017,IL0002320179,0.31772,1940,74.90,75.3000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,1508,04/07/2021
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.30987,4325,410.40,410.2000,No,1053908234,31.54,35.00,1053908234.00,368867881.90,1,1364,04/07/2021
BAZAN,ORL,2590248,IL0025902482,0.29922,2436,76.00,76.0000,No,3205713154,51.55,60.00,3205713154.00,1923427892.40,1,1256,04/07/2021
GILAT,GILT,1082510,IL0010825102,0.28897,1765,3123.00,3185.0000,No,56506561,65.99,80.00,56506561.00,45205248.80,1,1188,04/07/2021
AFI PROPERTIES,AFPR,1091354,IL0010913544,0.28267,5532,15330.00,15400.0000,No,36089124,23.87,25.00,36032556.00,9008139.00,1,1327,04/07/2021
MENIVIM REIT,MNRT,1140573,IL0011405730,0.27871,1362,217.00,218.3000,No,627471944,99.41,100.00,627471944.00,627471944.00,1,1362,04/07/2021
BATM,BVC,1158823,IL0010849045,0.27774,1696,385.10,391.8000,No,440434124,77.31,80.00,440434124.00,352347299.20,1,1334,04/07/2021
ISRAS,ISRS,613034,IL0006130343,0.27151,3790,70130.00,69210.0000,No,5403896,30.00,35.00,5403896.00,1891363.60,1,1122,04/07/2021
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.26072,2123,16790.00,16880.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,1048,04/07/2021
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.25856,2807,24230.00,24500.0000,No,11584970,39.83,45.00,11584970.00,5213236.50,1,1131,04/07/2021
CELLCOM,CEL,1101534,IL0011015349,0.23991,1953,1197.00,1207.0000,No,163190634,54.00,60.00,163190439.00,97914263.40,1,1064,04/07/2021
TADIRAN GROUP,TDRN,258012,IL0002580129,0.23574,3291,38600.00,38300.0000,No,8524832,33.01,35.00,8524832.00,2983691.20,1,1078,04/07/2021
AZORIM,AZRM,715011,IL0007150118,0.23507,2552,1211.00,1222.0000,No,210740327,35.50,45.00,210740327.00,94833147.15,1,914,04/07/2021
RATIO      PU,RATI,394015,IL0003940157,0.23317,1424,126.70,127.9000,No,1123871146,78.41,80.00,1123843375.00,899074700.00,1,1127,04/07/2021
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.22813,2477,34400.00,34000.0000,No,7199643,40.69,45.00,7199643.00,3239839.35,1,996,04/07/2021
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.22172,2407,4230.00,4254.0000,No,56904671,40.31,45.00,56904671.00,25607101.95,1,976,04/07/2021
GENERATION CAP,GNRS,1156926,IL0011569261,0.22012,1235,97.60,97.0000,No,1264955610,98.95,100.00,1101816001.00,1101816001.00,1,1214,04/07/2021
YOCHANANOF,YHNF,1161264,IL0011612640,0.20901,2917,20140.00,20710.0000,No,14485679,30.77,35.00,14485679.00,5069987.65,1,923,04/07/2021
ELECTREON,ELWS,368019,IL0003680191,0.20850,1699,17470.00,16750.0000,No,9723136,47.75,60.00,9717858.00,5830714.80,1,778,04/07/2021
BRACK CAPIT N V,BCNV,1121607,NL0009690619,0.19917,2780,35960.00,34930.0000,No,7730875,30.19,35.00,7730875.00,2705806.25,1,815,04/07/2021
