Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 30/12/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.36842,48599,3345.00,3345.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.63565,48595,05/12/2021
POALIM,POLI,662577,IL0006625771,5.05151,42245,3161.00,3210.0000,No,1336452973,92.09,100.00,1336452973.00,1336452973.00,0.68809,39507,05/12/2021
NICE,NICE,273011,IL0002730112,4.77033,61064,96740.00,95170.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.44954,60073,05/12/2021
TEVA,TEVA,629014,IL0006290147,4.37854,29550,2679.00,2695.0000,No,1103007168,99.52,100.00,1103007168.00,1103007168.00,0.85267,29583,05/12/2021
DISCOUNT,DSCT,691212,IL0006912120,4.19735,24153,2075.00,2094.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,24375,05/12/2021
ICL,ICL,281014,IL0002810146,4.10389,39359,3065.00,3001.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,20903,05/12/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.18235,30521,11900.00,12000.0000,No,256482725,58.31,60.00,256479276.00,153887565.60,1,17947,05/12/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.48841,23890,53990.00,53900.0000,No,44254513,55.76,60.00,44203756.00,26522253.60,1,13301,05/12/2021
TOWER,TSEM,1082379,IL0010823792,2.31705,13333,12290.00,12350.0000,No,108489058,100.00,100.00,108489058.00,108489058.00,1,13398,05/12/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.27710,13103,23400.00,23820.0000,No,55997579,80.25,100.00,55997579.00,55997579.00,1,10704,05/12/2021
NOVA,NVMI,1084557,IL0010845571,2.23614,12868,45150.00,44870.0000,No,28499895,94.07,100.00,28499895.00,28499895.00,1,12030,05/12/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.19071,36018,29700.00,29700.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10852,05/12/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,2.18543,16768,12300.00,12330.0000,No,136324409,99.86,100.00,136324409.00,136324409.00,0.75,16785,05/12/2021
BEZEQ,BEZQ,230011,IL0002300114,1.98769,14298,517.00,513.9000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,10402,05/12/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.73883,10009,5760.00,5793.0000,No,173772775,84.57,100.00,173714485.00,173714485.00,1,8513,05/12/2021
MIVNE,MVNE,226019,IL0002260193,1.48869,10708,1340.00,1338.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,8166,05/12/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.44495,10394,1526.00,1545.0000,No,681099362,60.28,80.00,681099362.00,544879489.60,1,6343,05/12/2021
MELISRON,MLSR,323014,IL0003230146,1.43261,13743,28950.00,29000.0000,No,47472672,48.45,60.00,47460339.00,28476203.40,1,6670,05/12/2021
FIBI BANK,FIBI,593038,IL0005930388,1.34426,12892,12850.00,12950.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6709,05/12/2021
LIVEPERSON,LPSN,1123017,US5381461012,1.29487,7451,11030.00,11210.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,7076,05/12/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.20555,6940,750.20,765.4000,No,925106586,98.23,100.00,924718585.00,924718585.00,1,6955,05/12/2021
SHUFERSAL,SAE,777037,IL0007770378,1.19743,6891,2597.00,2590.0000,No,265326677,99.94,100.00,265326677.00,265326677.00,1,6868,05/12/2021
