Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 22/03/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
POALIM,POLI,662577,IL0006625771,5.49938,33999,2545.00,2572.0000,No,1335921743,84.24,100.00,1335898103.00,1335898103.00,0.72954,28945,07/03/2021
LEUMI,LUMI,604611,IL0006046119,5.46683,31310,2155.00,2165.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.7875,31452,07/03/2021
TEVA,TEVA,629014,IL0006290147,5.14303,41613,3795.00,3883.0000,No,1096511852,99.56,100.00,1096511852.00,1096511852.00,0.55743,42390,07/03/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.24067,19126,14030.00,13980.0000,No,136324409,99.90,100.00,136324409.00,136324409.00,1,19039,07/03/2021
NICE,NICE,273011,IL0002730112,4.20295,47156,75170.00,76180.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.40199,47789,07/03/2021
DISCOUNT,DSCT,691212,IL0006912120,3.52802,15912,1367.00,1386.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,16133,07/03/2021
ICL,ICL,281014,IL0002810146,3.36842,25320,1977.00,1990.0000,No,1280751147,54.12,60.00,1280751147.00,768450688.20,1,13794,07/03/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.88143,21660,8492.00,8580.0000,No,255061271,55.96,60.00,255060462.00,153036277.20,1,12246,07/03/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.63189,19784,44760.00,45160.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,11118,07/03/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.49186,14090,25170.00,25760.0000,No,55978924,80.32,100.00,55978924.00,55978924.00,0.79765,11582,07/03/2021
TOWER,TSEM,1082379,IL0010823792,2.31128,10424,9659.00,9783.0000,No,107923544,100.00,100.00,107923544.00,107923544.00,1,10558,07/03/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.15215,11917,17640.00,17920.0000,No,67554435,92.97,100.00,67554435.00,67554435.00,0.81455,11255,07/03/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.92266,24776,20430.00,21070.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7699,07/03/2021
NOVA,NVMI,1084557,IL0010845571,1.77675,8013,28440.00,29120.0000,No,28176862,94.01,100.00,28176862.00,28176862.00,1,7714,07/03/2021
BEZEQ,BEZQ,230011,IL0002300114,1.68791,9516,344.10,337.2000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,6825,07/03/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.57406,7099,4107.00,4241.0000,No,172859286,84.60,100.00,172859286.00,172859286.00,1,6202,07/03/2021
SHUFERSAL,SAE,777037,IL0007770378,1.39395,7000,2639.00,2670.0000,No,265233976,99.92,100.00,238233976.00,238233976.00,1,7076,07/03/2021
FIBI BANK,FIBI,593038,IL0005930388,1.22700,9223,9193.00,9384.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,4862,07/03/2021
MIVNE,MVNE,226019,IL0002260193,1.17049,6599,806.00,825.0000,No,818725670,73.20,80.00,818725670.00,654980536.00,1,4944,07/03/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.15717,5812,633.40,620.4000,No,917621652,98.22,100.00,823980252.00,823980252.00,1,5592,07/03/2021
MELISRON,MLSR,323014,IL0003230146,1.14485,8606,18140.00,18600.0000,No,47441367,48.42,60.00,47441367.00,28464820.20,1,4273,07/03/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.11327,8368,1950.00,1950.0000,No,429151973,53.21,60.00,429151973.00,257491183.80,1,4453,07/03/2021
STRAUSS GROUP,STRS,746016,IL0007460160,1.08683,10893,9380.00,9482.0000,No,116129716,42.78,45.00,116129716.00,52258372.20,1,4711,07/03/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.06147,10724,1601.00,1632.0000,No,669828892,59.78,60.00,669828892.00,401897335.20,0.74404,6535,07/03/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.93833,7053,3983.00,4117.0000,No,177089406,54.69,60.00,177089406.00,106253643.60,1,3987,07/03/2021
BIG,BIG,1097260,IL0010972607,0.93296,7114,35850.00,36000.0000,No,19844220,48.41,60.00,19562235.00,11737341.00,1,3458,07/03/2021
PHOENIX,PHOE,767012,IL0007670123,0.91977,6914,2715.00,2779.0000,No,254656498,56.49,60.00,254656498.00,152793898.80,1,3998,07/03/2021
HAREL,HARL,585018,IL0005850180,0.91404,6871,3205.00,3250.0000,No,214378773,53.51,60.00,214378773.00,128627263.80,1,3728,07/03/2021
ELECTRA,ELTR,739037,IL0007390375,0.82955,6236,165300.00,169450.0000,No,3772361,51.25,60.00,3772361.00,2263416.60,1,3276,07/03/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.82340,3714,5490.00,5543.0000,No,67644867,87.64,100.00,67644867.00,67644867.00,1,3286,07/03/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.81829,6151,79900.00,79490.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,2907,07/03/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.81338,8154,2286.00,2361.0000,No,356682485,39.62,45.00,356617641.00,160477938.45,1,3337,07/03/2021
FORMULA,FORTY,256016,IL0002560162,0.81195,4578,29930.00,30320.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,2899,07/03/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.76130,5723,4597.00,4692.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3061,07/03/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.75771,5696,10420.00,10570.0000,No,54661699,55.28,60.00,54661699.00,32797019.40,1,3194,07/03/2021
CAMTEK,CAMT,1095264,IL0010952641,0.73330,4134,9555.00,9755.0000,No,43266821,60.74,80.00,43266821.00,34613456.80,1,2564,07/03/2021
GAV YAM,GVYM,759019,IL0007590198,0.73224,5504,2575.00,2628.0000,No,213757100,47.01,60.00,213757100.00,128254260.00,1,2641,07/03/2021
AMOT,AMOT,1097278,IL0010972789,0.72275,7245,1767.00,1797.0000,No,410002580,42.47,45.00,409953734.00,184479180.30,1,3129,07/03/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.69008,3112,32620.00,32470.0000,No,9541384,100.00,100.00,9541384.00,9541384.00,1,3098,07/03/2021
MATRIX,MTRX,445015,IL0004450156,0.67121,5083,8120.00,8242.0000,No,62594515,51.08,60.00,62136913.00,37282147.80,1,2635,07/03/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.66880,6736,6189.00,6400.0000,No,108844432,43.50,45.00,108308492.00,48738821.40,1,3030,07/03/2021
DANEL,DANE,314013,IL0003140139,0.66766,3027,56220.00,57000.0000,No,5384340,87.60,100.00,5356228.00,5356228.00,1,2689,07/03/2021
FOX,FOX,1087022,IL0010870223,0.66372,4989,36790.00,36950.0000,No,13561311,53.81,60.00,13561311.00,8136786.60,1,2696,07/03/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.65977,6613,3503.00,3463.0000,No,188772387,41.36,45.00,188772387.00,84947574.15,1,2704,07/03/2021
HILAN,HLAN,1084698,IL0010846983,0.64936,3661,16240.00,16120.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2422,07/03/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.62951,6309,6267.00,6262.0000,No,100677068,37.66,45.00,100677068.00,45304680.60,1,2374,07/03/2021
MEGA OR,MGOR,1104488,IL0011044885,0.61594,3473,9553.00,9760.0000,No,36350262,61.31,80.00,36350262.00,29080209.60,1,2175,07/03/2021
REIT 1,RIT1,1098920,IL0010989205,0.59958,2704,1513.00,1546.0000,No,178733943,98.48,100.00,178733943.00,178733943.00,1,2721,07/03/2021
