Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 01/02/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.36688,49035,3375.00,3323.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.62638,48275,09/01/2022
POALIM,POLI,662577,IL0006625771,5.21676,43662,3267.00,3220.0000,No,1336452973,92.04,100.00,1336452973.00,1336452973.00,0.68379,39608,09/01/2022
TEVA,TEVA,629014,IL0006290147,5.14426,29483,2673.00,2748.0000,No,1103007168,99.52,100.00,1103007168.00,1103007168.00,0.99855,30165,09/01/2022
NICE,NICE,273011,IL0002730112,4.39314,50939,80700.00,80590.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.49357,50870,09/01/2022
DISCOUNT,DSCT,691212,IL0006912120,4.29158,24561,2110.00,2053.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,23897,09/01/2022
ICL,ICL,281014,IL0002810146,3.82350,36470,2840.00,2882.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,20074,09/01/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.27247,31214,12170.00,12030.0000,No,256486473,58.31,60.00,256482725.00,153889635.00,1,17992,09/01/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.43719,23292,52590.00,52040.0000,No,44289767,55.79,60.00,44203756.00,26522253.60,1,12859,09/01/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.11226,34538,28480.00,28490.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10410,09/01/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.10370,12052,21500.00,21220.0000,No,56056350,80.27,100.00,55997579.00,55997579.00,1,9548,09/01/2022
BEZEQ,BEZQ,230011,IL0002300114,2.09409,14981,541.70,555.5000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,11244,09/01/2022
TOWER,TSEM,1082379,IL0010823792,2.04163,11727,10770.00,10860.0000,No,108883257,100.00,100.00,108489058.00,108489058.00,1,11825,09/01/2022
NOVA,NVMI,1084557,IL0010845571,1.81766,10431,36500.00,36550.0000,No,28579044,94.09,100.00,28499895.00,28499895.00,1,9828,09/01/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.78514,10249,5880.00,5800.0000,No,174298445,84.63,100.00,173747801.00,173747801.00,1,8556,09/01/2022
MIVNE,MVNE,226019,IL0002260193,1.50692,10836,1349.00,1350.0000,No,803249696,76.01,80.00,799119757.00,639295805.60,1,8242,09/01/2022
PERRIGO,PRGO,1130699,IE00BGH1M568,1.43280,16400,12030.00,12120.0000,No,136324409,99.86,100.00,136324409.00,136324409.00,0.5,16499,09/01/2022
MELISRON,MLSR,323014,IL0003230146,1.37864,13150,27700.00,27580.0000,No,47472672,48.45,60.00,47472672.00,28483603.20,1,6344,09/01/2022
FIBI BANK,FIBI,593038,IL0005930388,1.37794,13143,13100.00,12940.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6704,09/01/2022
SHUFERSAL,SAE,777037,IL0007770378,1.37693,7880,2970.00,3030.0000,No,265326677,99.86,100.00,265326677.00,265326677.00,1,8028,09/01/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.15093,6587,712.00,712.0000,No,925129256,98.22,100.00,925106586.00,925106586.00,1,6470,09/01/2022
BIG,BIG,1097260,IL0010972607,1.12347,10728,50690.00,50160.0000,No,21165821,51.46,60.00,21140406.00,12684243.60,1,5463,09/01/2022
LIVEPERSON,LPSN,1123017,US5381461012,1.06767,6110,9045.00,9240.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,5833,09/01/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.03920,7434,4198.00,4109.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4474,09/01/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.03463,9869,128190.00,130000.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,4879,09/01/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,1.00104,9548,7670.00,7582.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,4947,09/01/2022
PHOENIX,PHOE,767012,IL0007670123,0.99415,9445,3755.00,3725.0000,No,251543232,64.18,60.00,252530673.00,151518403.80,1,6014,09/01/2022
