Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 13/12/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.27937,43862,69040.00,71290.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.61939,45292,04/12/2022
POALIM,POLI,662577,IL0006625771,5.02865,43086,3223.00,3232.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.6006,40748,04/12/2022
LEUMI,LUMI,604611,IL0006046119,4.81332,47626,3085.00,3102.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.52008,47884,04/12/2022
TEVA,TEVA,629014,IL0006290147,4.80367,32339,2912.00,3072.0000,No,1110552397,99.47,100.00,1110552397.00,1110552397.00,0.76439,33935,04/12/2022
DISCOUNT,DSCT,691212,IL0006912120,4.73792,24381,1971.00,1980.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,24493,04/12/2022
ICL,ICL,281014,IL0002810146,4.22948,36277,2814.00,2759.0000,No,1289146137,55.99,60.00,1289093724.00,773456234.40,1,19914,04/12/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.61881,31038,12070.00,11970.0000,No,257150832,58.42,60.00,257146068.00,154287640.80,1,17982,04/12/2022
TOWER,TSEM,1082379,IL0010823792,3.34984,17238,15730.00,15620.0000,No,109589209,100.00,100.00,109589209.00,109589209.00,1,17118,04/12/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.26804,16893,30140.00,31180.0000,No,56047732,87.95,100.00,55797683.00,55797683.00,1,15370,04/12/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.02462,25941,58500.00,58250.0000,No,44344206,55.84,60.00,44344206.00,26606523.60,1,14424,04/12/2022
BEZEQ,BEZQ,230011,IL0002300114,2.52412,16237,587.10,596.8000,No,2765547168,73.19,80.00,2765547168.00,2212437734.40,1,12080,04/12/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.00101,29421,24260.00,24740.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9040,04/12/2022
FIBI BANK,FIBI,593038,IL0005930388,1.70088,14588,14540.00,14690.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7611,04/12/2022
NOVA,NVMI,1084557,IL0010845571,1.62378,8356,29030.00,30280.0000,No,28784184,100.00,100.00,28784184.00,28784184.00,1,8716,04/12/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.51526,9747,5504.00,5669.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,7616,04/12/2022
PHOENIX,PHOE,767012,IL0007670123,1.48457,9550,3783.00,3843.0000,No,252442809,66.64,80.00,252434138.00,201947310.40,1,6465,04/12/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.41338,7273,716.00,716.6000,No,1015829022,98.38,100.00,1015824459.00,1015824459.00,1,7162,04/12/2022
MELISRON,MLSR,323014,IL0003230146,1.41254,12115,25510.00,25900.0000,No,47491202,48.47,60.00,47491202.00,28494721.20,1,5962,04/12/2022
MIVNE,MVNE,226019,IL0002260193,1.38943,8938,1136.00,1136.0000,No,786756568,77.60,80.00,786756568.00,629405254.40,1,6936,04/12/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.29290,6653,3702.00,3799.0000,No,179722469,84.61,100.00,179722469.00,179722469.00,1,5777,04/12/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.25287,10751,139580.00,135600.0000,No,7702390,48.73,60.00,7698467.00,4619080.20,1,5090,04/12/2022
AMOT,AMOT,1097278,IL0010972789,1.20134,10304,2193.00,2242.0000,No,469839877,45.72,60.00,469839877.00,281903926.20,1,4816,04/12/2022
SHUFERSAL,SAE,777037,IL0007770378,1.09184,5619,2115.00,2137.0000,No,265658112,99.82,100.00,265658112.00,265658112.00,1,5667,04/12/2022
BIG,BIG,1097260,IL0010972607,1.06281,9116,38040.00,38540.0000,No,23963815,47.38,60.00,23962720.00,14377632.00,1,4376,04/12/2022
OPC ENERGY,OPCE,1141571,IL0011415713,1.04663,8977,4000.00,3943.0000,No,224415769,45.30,60.00,224415697.00,134649418.20,1,4008,04/12/2022
PAZ OIL,PZOL,1100007,IL0011000077,0.93243,4798,45130.00,44960.0000,No,10632220,90.31,100.00,10632220.00,10632220.00,1,4317,04/12/2022
DELEK GROUP,DLEKG,1084128,IL0010841281,0.92487,7933,43200.00,43820.0000,No,18362316,48.08,60.00,18361957.00,11017174.20,1,3869,04/12/2022
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.87669,10025,2806.00,2828.0000,No,357287333,39.72,45.00,357287333.00,160779299.85,1,4013,04/12/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.86981,9948,8550.00,8630.0000,No,116352668,42.91,45.00,116336927.00,52351617.15,1,4309,04/12/2022
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.86017,9837,838.00,829.6000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,4363,04/12/2022
ELECTRA,ELTR,739037,IL0007390375,0.85222,7311,190520.00,188760.0000,No,3837594,52.08,60.00,3836463.00,2301877.80,1,3773,04/12/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,0.85172,7305,5880.00,5903.0000,No,124233780,52.31,60.00,124233780.00,74540268.00,1,3836,04/12/2022
HAREL,HARL,585018,IL0005850180,0.77553,6651,3151.00,3221.0000,No,211091531,52.36,60.00,211091531.00,126654918.60,1,3560,04/12/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.75022,3861,8644.00,8914.0000,No,44662968,100.00,100.00,44662968.00,44662968.00,1,3981,04/12/2022
ENERGIX,ENRG,1123355,IL0011233553,0.73452,6300,1150.00,1158.0000,No,547808952,47.64,60.00,547808952.00,328685371.20,1,3022,04/12/2022
CLAL INSURANCE,CLIS,224014,IL0002240146,0.70462,4533,6120.00,6225.0000,No,74060593,79.58,80.00,74060593.00,59248474.40,1,3669,04/12/2022
PARTNER,PTNR,1083484,IL0010834849,0.69529,4479,2405.00,2421.0000,No,186235722,73.23,80.00,185965217.00,148772173.60,1,3302,04/12/2022
REIT 1,RIT1,1098920,IL0010989205,0.65133,3353,1732.00,1765.0000,No,193577494,98.32,100.00,193520738.00,193520738.00,1,3359,04/12/2022
BAZAN,ORL,2590248,IL0025902482,0.63457,4082,127.30,126.5000,No,3206514812,68.67,80.00,3206514812.00,2565211849.60,1,2785,04/12/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.62004,5318,15000.00,15020.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2548,04/12/2022
FORMULA,FORTY,256016,IL0002560162,0.61675,3967,25900.00,26150.0000,No,15317667,62.70,80.00,15317667.00,12254133.60,1,2511,04/12/2022
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.60441,5184,1147.00,1181.0000,No,451946478,53.36,60.00,451946478.00,271167886.80,1,2848,04/12/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.59873,6847,6764.00,6880.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,2646,04/12/2022
HILAN,HLAN,1084698,IL0010846983,0.55959,3600,15710.00,15850.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,2422,04/12/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.55929,2878,4203.00,4389.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,2487,04/12/2022
MATRIX,MTRX,445015,IL0004450156,0.55754,4782,7603.00,7657.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2471,04/12/2022
KENON,KEN,1134139,SG9999012629,0.55369,6332,11750.00,11700.0000,No,53887154,39.54,45.00,53887154.00,24249219.30,1,2493,04/12/2022
FOX,FOX,1087022,IL0010870223,0.54975,4715,34540.00,35470.0000,No,13651056,57.08,60.00,13651056.00,8190633.60,1,2764,04/12/2022
MEGA OR,MGOR,1104488,IL0011044885,0.54744,3521,9660.00,9736.0000,No,36453848,61.35,80.00,36453848.00,29163078.40,1,2177,04/12/2022
CAMTEK,CAMT,1095264,IL0010952641,0.53604,3448,7790.00,8179.0000,No,44263483,60.99,80.00,44263483.00,35410786.40,1,2208,04/12/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.51144,3290,127.00,126.1000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2525,04/12/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.49513,4247,4379.00,4424.0000,No,96975959,56.11,60.00,96975959.00,58185575.40,1,2407,04/12/2022
