Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
POALIM,POLI,662577,IL0006625771,5.23026,40439,3025.00,2963.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.67573,37357,04/09/2022
NICE,NICE,273011,IL0002730112,5.10401,43176,67960.00,65950.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.61762,41899,04/09/2022
LEUMI,LUMI,604611,IL0006046119,5.03991,47271,3062.00,2940.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.55703,45383,04/09/2022
DISCOUNT,DSCT,691212,IL0006912120,4.27600,22340,1806.00,1708.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,21128,04/09/2022
ICL,ICL,281014,IL0002810146,4.25716,37124,2880.00,2830.0000,No,1289017967,55.99,60.00,1287151147.00,772290688.20,1,20425,04/09/2022
TEVA,TEVA,629014,IL0006290147,4.19925,30429,2740.00,2870.0000,No,1110552397,99.48,100.00,1110552397.00,1110552397.00,0.721,31707,04/09/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.70111,32258,12550.00,12100.0000,No,257107926,58.41,60.00,256797600.00,154078560.00,1,18171,04/09/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.44715,30017,67700.00,65700.0000,No,44337770,55.84,60.00,44337770.00,26602662.00,1,16266,04/09/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.29472,17214,30850.00,30180.0000,No,55797683,80.18,100.00,55797683.00,55797683.00,1,13502,04/09/2022
TOWER,TSEM,1082379,IL0010823792,3.25894,17074,15580.00,15470.0000,No,109589209,100.00,100.00,109285552.00,109285552.00,1,16953,04/09/2022
BEZEQ,BEZQ,230011,IL0002300114,2.47346,16154,584.10,564.0000,No,2765547168,73.19,80.00,2765547168.00,2212437734.40,1,11416,04/09/2022
