Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 06/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
POALIM,POLI,662577,IL0006625771,5.26751,40600,3037.00,3082.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.67573,38857,04/09/2022
NICE,NICE,273011,IL0002730112,5.09970,43005,67690.00,70600.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.61762,44853,04/09/2022
LEUMI,LUMI,604611,IL0006046119,4.96493,46422,3007.00,3077.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.55703,47498,04/09/2022
TEVA,TEVA,629014,IL0006290147,4.52914,32717,2946.00,3122.0000,No,1110552397,99.48,100.00,1110552397.00,1110552397.00,0.721,34491,04/09/2022
ICL,ICL,281014,IL0002810146,4.33133,37652,2921.00,2941.0000,No,1289017967,55.99,60.00,1287151147.00,772290688.20,1,21226,04/09/2022
DISCOUNT,DSCT,691212,IL0006912120,4.12318,21475,1736.00,1780.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,22019,04/09/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.60624,31341,12190.00,12320.0000,No,257107926,58.41,60.00,256797600.00,154078560.00,1,18502,04/09/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.46411,30070,67820.00,70800.0000,Yes,44337770,55.84,60.00,44337770.00,26602662.00,1,17529,04/09/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.33935,17392,31170.00,30320.0000,No,55797683,80.18,100.00,55797683.00,55797683.00,1,13565,04/09/2022
TOWER,TSEM,1082379,IL0010823792,3.28807,17173,15670.00,15850.0000,No,109589209,100.00,100.00,109285552.00,109285552.00,1,17370,04/09/2022
BEZEQ,BEZQ,230011,IL0002300114,2.46806,16068,581.00,602.5000,No,2765547168,73.19,80.00,2765547168.00,2212437734.40,1,12195,04/09/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.02030,30064,24790.00,24980.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9128,04/09/2022
NOVA,NVMI,1084557,IL0010845571,1.70518,8881,30960.00,31170.0000,No,28685413,100.00,100.00,28685413.00,28685413.00,1,8941,04/09/2022
FIBI BANK,FIBI,593038,IL0005930388,1.62046,14066,14020.00,14100.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7305,04/09/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.52274,9913,5598.00,5480.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,7362,04/09/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.44057,7732,4302.00,4251.0000,No,179722469,84.64,100.00,174403669.00,174403669.00,1,6466,04/09/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.41450,7822,770.00,765.9000,No,1015824459,98.38,100.00,956761278.00,956761278.00,1,7654,04/09/2022
MELISRON,MLSR,323014,IL0003230146,1.33446,11588,24400.00,24630.0000,No,47491202,48.47,60.00,47474009.00,28484405.40,1,5670,04/09/2022
PHOENIX,PHOE,767012,IL0007670123,1.31762,8582,3413.00,3470.0000,No,251465825,66.51,80.00,251335726.00,201068580.80,1,5804,04/09/2022
MIVNE,MVNE,226019,IL0002260193,1.29909,8457,1075.00,1075.0000,No,786741865,77.60,80.00,786741865.00,629393492.00,1,6563,04/09/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.24873,10839,140800.00,141200.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,5299,04/09/2022
DELEK GROUP,DLEKG,1084128,IL0010841281,1.15792,10057,54780.00,55640.0000,No,18358187,48.07,60.00,18348245.00,11008947.00,1,4910,04/09/2022
AMOT,AMOT,1097278,IL0010972789,1.12436,9763,2078.00,2088.0000,No,469839877,45.72,60.00,469678860.00,281807316.00,1,4485,04/09/2022
SHUFERSAL,SAE,777037,IL0007770378,1.10176,5738,2160.00,2202.0000,No,265658112,99.82,100.00,265658112.00,265658112.00,1,5839,04/09/2022
BIG,BIG,1097260,IL0010972607,1.04011,9029,37680.00,37620.0000,No,23962720,47.40,60.00,23961203.00,14376721.80,1,4273,04/09/2022
ELECTRA,ELTR,739037,IL0007390375,0.86820,7536,196500.00,199440.0000,No,3835258,52.05,60.00,3835258.00,2301154.80,1,3981,04/09/2022
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.85045,9843,2755.00,2796.0000,No,357280030,39.72,45.00,357277477.00,160774864.65,1,3968,04/09/2022
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.83671,9684,825.00,821.9000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,4322,04/09/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.83381,9652,8297.00,8270.0000,No,116330003,42.90,45.00,116312440.00,52340598.00,1,4127,04/09/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,0.80863,7019,5650.00,5650.0000,No,124233780,52.31,60.00,124233780.00,74540268.00,1,3672,04/09/2022
HAREL,HARL,585018,IL0005850180,0.76423,6632,3134.00,3152.0000,No,211574759,52.57,60.00,211673759.00,127004255.40,1,3506,04/09/2022
PAZ OIL,PZOL,1100007,IL0011000077,0.76165,3967,37310.00,37600.0000,No,10632220,91.37,100.00,10632220.00,10632220.00,1,3653,04/09/2022
PARTNER,PTNR,1083484,IL0010834849,0.72487,4740,2549.00,2600.0000,No,185965217,73.19,80.00,185137147.00,148109717.60,1,3539,04/09/2022
OPC ENERGY,OPCE,1141571,IL0011415713,0.72362,8873,3954.00,4052.0000,No,224413144,45.30,45.00,211813865.00,95316239.25,1,4119,04/09/2022
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.71638,6219,1376.00,1415.0000,No,451946478,53.36,60.00,451925450.00,271155270.00,1,3412,04/09/2022
CLAL INSURANCE,CLIS,224014,IL0002240146,0.68608,4467,6031.00,6040.0000,No,74060593,79.81,80.00,74060593.00,59248474.40,1,3570,04/09/2022
FORMULA,FORTY,256016,IL0002560162,0.68373,4451,29060.00,29120.0000,No,15317667,62.70,80.00,15317667.00,12254133.60,1,2797,04/09/2022
REIT 1,RIT1,1098920,IL0010989205,0.65760,3580,1850.00,1829.0000,No,193507440,98.42,100.00,185132520.00,185132520.00,1,3483,04/09/2022
HILAN,HLAN,1084698,IL0010846983,0.65708,4278,18670.00,18670.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,2853,04/09/2022
ENERGIX,ENRG,1123355,IL0011233553,0.64536,7855,1434.00,1408.0000,No,547790774,47.63,45.00,520875952.00,234394178.40,1,3674,04/09/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.62752,7263,7175.00,7175.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,2759,04/09/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.62652,5438,15340.00,15390.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2611,04/09/2022
FOX,FOX,1087022,IL0010870223,0.62119,5392,39500.00,40360.0000,No,13651056,57.08,60.00,13651056.00,8190633.60,1,3145,04/09/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.59968,3123,6993.00,7661.0000,No,44662968,100.00,100.00,44662968.00,44662968.00,1,3422,04/09/2022
BAZAN,ORL,2590248,IL0025902482,0.59827,3896,121.50,124.2000,No,3206514812,60.24,80.00,3205713154.00,2564570523.20,1,2399,04/09/2022
CAMTEK,CAMT,1095264,IL0010952641,0.59410,3868,8738.00,8761.0000,No,44263483,61.16,80.00,44263483.00,35410786.40,1,2372,04/09/2022
KENON,KEN,1134139,SG9999012629,0.57032,6601,12250.00,12410.0000,No,53887154,39.54,45.00,53884436.00,24247996.20,1,2644,04/09/2022
MEGA OR,MGOR,1104488,IL0011044885,0.56498,3678,10090.00,9956.0000,No,36453848,61.35,80.00,36453848.00,29163078.40,1,2227,04/09/2022
MATRIX,MTRX,445015,IL0004450156,0.56044,4865,7735.00,7600.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2453,04/09/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.52532,4560,669.50,654.0000,No,681099362,48.55,60.00,681099362.00,408659617.20,1,2163,04/09/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.49506,4373,4509.00,4700.0000,No,96975959,56.11,60.00,95305959.00,57183575.40,1,2557,04/09/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.48942,3186,123.00,123.8000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2479,04/09/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.45554,5281,32800.00,31920.0000,No,16100520,40.12,45.00,16074290.00,7233430.50,1,2062,04/09/2022
CELLCOM,CEL,1101534,IL0011015349,0.45171,2948,1790.00,1822.0000,No,164767611,63.66,80.00,164287950.00,131430360.00,1,1911,04/09/2022
EQUITAL,EQTL,755017,IL0007550176,0.44407,3855,10610.00,10500.0000,No,36331037,50.01,60.00,36331037.00,21798622.20,1,1908,04/09/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.44039,3823,6936.00,6800.0000,No,55114995,55.41,60.00,55114995.00,33068997.00,1,2077,04/09/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.44012,3820,5342.00,5338.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,2258,04/09/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.43677,2275,3322.00,3763.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,2132,04/09/2022
RATIO      PU,RATI,394015,IL0003940157,0.43675,2843,253.00,251.5000,No,1123871146,77.48,80.00,1123871146.00,899096916.80,1,2190,04/09/2022
SUMMIT,SMT,1081686,IL0010816861,0.42558,3694,5000.00,4960.0000,No,73884204,47.77,60.00,73884014.00,44330408.40,1,1751,04/09/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.41052,4752,4347.00,4250.0000,No,109346308,43.76,45.00,109300533.00,49185239.85,1,2034,04/09/2022
