Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 14/07/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
POALIM,POLI,662577,IL0006625771,4.98687,40640,3040.00,3007.0000,No,1336837006,92.03,100.00,1336837006.00,1336837006.00,0.65368,36995,10/07/2022
LEUMI,LUMI,604611,IL0006046119,4.92886,49000,3174.00,3135.0000,No,1543805097,99.99,100.00,1452896006.00,1452896006.00,0.56937,48393,10/07/2022
NICE,NICE,273011,IL0002730112,4.86941,42623,67090.00,67990.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.60858,43195,10/07/2022
ICL,ICL,281014,IL0002810146,4.63183,42476,3300.00,3100.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.96816,22313,10/07/2022
DISCOUNT,DSCT,691212,IL0006912120,4.36558,23256,1880.00,1855.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,22947,10/07/2022
TEVA,TEVA,629014,IL0006290147,4.19306,26626,2398.00,2423.0000,No,1110352397,99.48,100.00,1110352397.00,1110352397.00,0.8389,26764,10/07/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.95416,35107,79200.00,77580.0000,No,44326891,55.83,60.00,44326891.00,26596134.60,1,19199,10/07/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.47938,30892,12040.00,11900.0000,No,256576199,58.32,60.00,256574035.00,153944421.00,1,17807,10/07/2022
TOWER,TSEM,1082379,IL0010823792,3.29052,17562,16070.00,16160.0000,No,109285552,100.00,100.00,109078276.00,109078276.00,1,17661,10/07/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.80330,14933,26640.00,26850.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,12082,10/07/2022
BEZEQ,BEZQ,230011,IL0002300114,2.28010,15183,549.00,558.0000,No,2765547168,73.19,80.00,2765543598.00,2212434878.40,1,11295,10/07/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.99834,30415,25080.00,25500.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9318,10/07/2022
NOVA,NVMI,1084557,IL0010845571,1.63383,8704,30350.00,30930.0000,No,28677310,100.00,100.00,28677310.00,28677310.00,1,8870,10/07/2022
FIBI BANK,FIBI,593038,IL0005930388,1.57414,13976,13930.00,13930.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7217,10/07/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.51975,8096,4642.00,4712.0000,No,174403669,84.60,100.00,174403669.00,174403669.00,1,6952,10/07/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.38475,12294,159700.00,150570.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,5651,10/07/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.29980,6925,723.80,712.3000,No,956752624,98.28,100.00,956639988.00,956639988.00,1,6698,10/07/2022
PHOENIX,PHOE,767012,IL0007670123,1.28926,8585,3416.00,3397.0000,No,251320062,64.15,80.00,251316365.00,201053092.00,1,5477,10/07/2022
MELISRON,MLSR,323014,IL0003230146,1.27903,11356,23920.00,24070.0000,No,47474009,48.45,60.00,47474009.00,28484405.40,1,5536,10/07/2022
