Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/11/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
POALIM,POLI,662577,IL0006625771,5.28788,45586,3410.00,3429.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.63934,43232,11/10/2022
TEVA,TEVA,629014,IL0006290147,5.27602,35116,3162.00,3182.0000,No,1110552397,99.48,100.00,1110552397.00,1110552397.00,0.82811,35154,11/10/2022
LEUMI,LUMI,604611,IL0006046119,5.12378,52103,3375.00,3422.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.54201,52824,11/10/2022
NICE,NICE,273011,IL0002730112,4.91780,42553,66980.00,64560.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.63697,41016,11/10/2022
DISCOUNT,DSCT,691212,IL0006912120,4.51563,24889,2012.00,2039.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,25223,11/10/2022
ICL,ICL,281014,IL0002810146,4.47909,41148,3192.00,3162.0000,No,1289093724,55.99,60.00,1289017967.00,773410780.20,1,22822,11/10/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.74109,34375,13370.00,13500.0000,No,257146068,58.42,60.00,257038885.00,154223331.00,1,20280,11/10/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.45199,31715,71520.00,70670.0000,No,44344206,55.84,60.00,44337770.00,26602662.00,1,17499,11/10/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.25068,17917,32110.00,31740.0000,No,55797683,80.18,100.00,55797683.00,55797683.00,1,14200,11/10/2022
TOWER,TSEM,1082379,IL0010823792,2.99800,16570,15120.00,14750.0000,No,109589209,100.00,100.00,109285552.00,109285552.00,1,16164,11/10/2022
BEZEQ,BEZQ,230011,IL0002300114,2.51202,17307,625.80,620.5000,No,2765547168,73.19,80.00,2765547168.00,2212437734.40,1,12560,11/10/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.01844,31786,26210.00,26440.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9661,11/10/2022
