Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 15/06/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.65936,30757,2770.00,2820.0000,No,1110352397,99.49,100.00,1110352397.00,1110352397.00,0.95498,31152,06/06/2022
NICE,NICE,273011,IL0002730112,5.26189,41740,65700.00,65850.0000,No,63531636,100.00,100.00,63476860.00,63476860.00,0.65483,41836,06/06/2022
POALIM,POLI,662577,IL0006625771,5.21639,40225,3009.00,3024.0000,No,1336837006,92.03,100.00,1336485845.00,1336485845.00,0.67321,37204,06/06/2022
LEUMI,LUMI,604611,IL0006046119,4.96348,45185,3110.00,3168.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.57011,46023,06/06/2022
ICL,ICL,281014,IL0002810146,4.91202,45797,3558.00,3528.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.92777,25394,06/06/2022
DISCOUNT,DSCT,691212,IL0006912120,4.29736,22303,1803.00,1831.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,22650,06/06/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.47441,30054,67800.00,69510.0000,No,44326891,55.83,60.00,44326891.00,26596134.60,1,17202,06/06/2022
TOWER,TSEM,1082379,IL0010823792,3.38794,17583,16120.00,16140.0000,No,109078276,100.00,100.00,109078276.00,109078276.00,1,17605,06/06/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.27762,28351,11050.00,11220.0000,No,256574035,58.32,60.00,256574035.00,153944421.00,1,16789,06/06/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.80822,14575,26000.00,26400.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,11879,06/06/2022
BEZEQ,BEZQ,230011,IL0002300114,2.14295,13902,502.70,509.9000,No,2765543598,73.19,80.00,2765540626.00,2212432500.80,1,10321,06/06/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.89328,28075,23150.00,23870.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,8722,06/06/2022
NOVA,NVMI,1084557,IL0010845571,1.81457,9418,32840.00,33150.0000,No,28677310,100.00,100.00,28677310.00,28677310.00,1,9507,06/06/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.54219,13340,173280.00,173280.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,6503,06/06/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.48769,9651,5450.00,5453.0000,No,177089406,73.06,80.00,177089406.00,141671524.80,1,7055,06/06/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.45504,7552,4330.00,4399.0000,No,174403669,84.61,100.00,174403669.00,174403669.00,1,6491,06/06/2022
FIBI BANK,FIBI,593038,IL0005930388,1.44754,12521,12480.00,12660.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6559,06/06/2022
PHOENIX,PHOE,767012,IL0007670123,1.25707,8155,3245.00,3315.0000,No,251316365,64.15,80.00,251316365.00,201053092.00,1,5344,06/06/2022
MELISRON,MLSR,323014,IL0003230146,1.19862,10368,21840.00,22450.0000,No,47474009,48.45,60.00,47472672.00,28483603.20,1,5164,06/06/2022
MIVNE,MVNE,226019,IL0002260193,1.17788,7641,951.30,970.9000,No,803266889,76.01,80.00,803266889.00,642613511.20,1,5928,06/06/2022
SHUFERSAL,SAE,777037,IL0007770378,1.14886,5964,2245.00,2248.0000,No,265654749,99.84,100.00,265592983.00,265592983.00,1,5962,06/06/2022
