from 2021-02-01 to 2021-02-02, no change.
from 2021-02-02 to 2021-02-03, no change.
from 2021-02-03 to 2021-02-04, no change.
from 2021-02-04 to 2021-02-07, Out stocks:  ['AVGL', 'ATRY', 'FBRT', 'HAML', 'VTNA'], In stocks: ['ECPA', 'MNRT', 'AILN', 'GNCL', 'GNRS', 'AQUA']
from 2021-02-07 to 2021-02-08, no change.
from 2021-02-08 to 2021-02-09, no change.
from 2021-02-09 to 2021-02-10, no change.
from 2021-02-10 to 2021-02-11, no change.
from 2021-02-11 to 2021-02-14, no change.
from 2021-02-14 to 2021-02-15, no change.
from 2021-02-15 to 2021-02-16, no change.
from 2021-02-16 to 2021-02-17, no change.
from 2021-02-17 to 2021-02-18, no change.
from 2021-02-18 to 2021-02-21, no change.
from 2021-02-21 to 2021-02-22, no change.
from 2021-02-22 to 2021-02-23, no change.
from 2021-02-23 to 2021-02-24, no change.
from 2021-02-24 to 2021-02-25, no change.
from 2021-02-25 to 2021-02-28, no change.
from 2021-02-28 to 2021-03-01, no change.
from 2021-03-01 to 2021-03-02, no change.
from 2021-03-02 to 2021-03-03, no change.
from 2021-03-03 to 2021-03-04, no change.
from 2021-03-04 to 2021-03-07, In stocks: ['NOFR']
from 2021-03-07 to 2021-03-08, no change.
from 2021-03-08 to 2021-03-09, no change.
from 2021-03-09 to 2021-03-10, no change.
from 2021-03-10 to 2021-03-11, no change.
from 2021-03-11 to 2021-03-14, no change.
from 2021-03-14 to 2021-03-15, no change.
from 2021-03-15 to 2021-03-16, no change.
from 2021-03-16 to 2021-03-17, no change.
from 2021-03-17 to 2021-03-18, no change.
from 2021-03-18 to 2021-03-21, no change.
from 2021-03-21 to 2021-03-22, no change.
from 2021-03-22 to 2021-03-24, no change.
from 2021-03-24 to 2021-03-25, no change.
from 2021-03-25 to 2021-03-29, no change.
from 2021-03-29 to 2021-03-30, no change.
from 2021-03-30 to 2021-03-31, no change.
from 2021-03-31 to 2021-04-01, Out stocks:  ['ELCP'], In stocks: ['SPGE']
from 2021-04-01 to 2021-04-04, no change.
from 2021-04-04 to 2021-04-05, no change.
from 2021-04-05 to 2021-04-06, In stocks: ['RADA']
from 2021-04-06 to 2021-04-07, no change.
from 2021-04-07 to 2021-04-08, no change.
from 2021-04-08 to 2021-04-11, no change.
from 2021-04-11 to 2021-04-12, no change.
from 2021-04-12 to 2021-04-13, no change.
from 2021-04-13 to 2021-04-18, no change.
from 2021-04-18 to 2021-04-19, no change.
from 2021-04-19 to 2021-04-20, no change.
from 2021-04-20 to 2021-04-21, no change.
from 2021-04-21 to 2021-04-22, no change.
from 2021-04-22 to 2021-04-25, no change.
from 2021-04-25 to 2021-04-26, no change.
from 2021-04-26 to 2021-04-27, no change.
from 2021-04-27 to 2021-04-28, no change.
from 2021-04-28 to 2021-04-29, no change.
from 2021-04-29 to 2021-05-02, no change.
from 2021-05-02 to 2021-05-03, no change.
from 2021-05-03 to 2021-05-04, no change.
from 2021-05-04 to 2021-05-05, no change.
from 2021-05-05 to 2021-05-06, no change.
from 2021-05-06 to 2021-05-09, In stocks: ['DIPL', 'DLTI', 'DNYA']
from 2021-05-09 to 2021-05-10, no change.
from 2021-05-10 to 2021-05-11, no change.
from 2021-05-11 to 2021-05-12, no change.
from 2021-05-12 to 2021-05-13, no change.
from 2021-05-13 to 2021-05-18, no change.
from 2021-05-18 to 2021-05-19, no change.
from 2021-05-19 to 2021-05-20, no change.
from 2021-05-20 to 2021-05-23, no change.
from 2021-05-23 to 2021-05-24, no change.
from 2021-05-24 to 2021-05-25, no change.
from 2021-05-25 to 2021-05-26, no change.
from 2021-05-26 to 2021-05-27, no change.
from 2021-05-27 to 2021-05-30, no change.
from 2021-05-30 to 2021-05-31, no change.
from 2021-05-31 to 2021-06-01, no change.
from 2021-06-01 to 2021-06-02, no change.
from 2021-06-02 to 2021-06-03, no change.
from 2021-06-03 to 2021-06-06, no change.
from 2021-06-06 to 2021-06-07, no change.
from 2021-06-07 to 2021-06-08, no change.
from 2021-06-08 to 2021-06-09, no change.
from 2021-06-09 to 2021-06-10, no change.
from 2021-06-10 to 2021-06-13, no change.
from 2021-06-13 to 2021-06-14, no change.
from 2021-06-14 to 2021-06-15, no change.
from 2021-06-15 to 2021-06-16, no change.
from 2021-06-16 to 2021-06-17, no change.
from 2021-06-17 to 2021-06-20, no change.
from 2021-06-20 to 2021-06-21, no change.
from 2021-06-21 to 2021-06-22, no change.
from 2021-06-22 to 2021-06-23, no change.
from 2021-06-23 to 2021-06-24, no change.
from 2021-06-24 to 2021-06-27, no change.
from 2021-06-27 to 2021-06-28, no change.
from 2021-06-28 to 2021-06-29, no change.
from 2021-06-29 to 2021-06-30, no change.
from 2021-06-30 to 2021-07-01, no change.
from 2021-07-01 to 2021-07-04, no change.
from 2021-07-04 to 2021-07-05, no change.
from 2021-07-05 to 2021-07-06, no change.
from 2021-07-06 to 2021-07-07, no change.
from 2021-07-07 to 2021-07-08, no change.
from 2021-07-08 to 2021-07-11, no change.
from 2021-07-11 to 2021-07-12, no change.
from 2021-07-12 to 2021-07-13, no change.
from 2021-07-13 to 2021-07-14, no change.
from 2021-07-14 to 2021-07-15, no change.
from 2021-07-15 to 2021-07-19, no change.
from 2021-07-19 to 2021-07-20, no change.
from 2021-07-20 to 2021-07-21, no change.
from 2021-07-21 to 2021-07-22, no change.
from 2021-07-22 to 2021-07-25, no change.
from 2021-07-25 to 2021-07-26, no change.
from 2021-07-26 to 2021-07-27, no change.
from 2021-07-27 to 2021-07-28, no change.
from 2021-07-28 to 2021-07-29, no change.
from 2021-07-29 to 2021-08-01, no change.
from 2021-08-01 to 2021-08-02, no change.
from 2021-08-02 to 2021-08-03, no change.
from 2021-08-03 to 2021-08-04, no change.
from 2021-08-04 to 2021-08-05, no change.
from 2021-08-05 to 2021-08-08, Out stocks:  ['ITMR', 'AFPR', 'ECPA', 'ARD', 'AILN', 'KMDA', 'VCTR', 'MTAV', 'ILX', 'SPGE', 'ADGR', 'GVYM'], In stocks: ['PERI', 'BONS', 'ARGO', 'APLP', 'NYAX', 'VRDS', 'RTLS', 'PTBL']
from 2021-08-08 to 2021-08-09, no change.
from 2021-08-09 to 2021-08-10, no change.
from 2021-08-10 to 2021-08-11, no change.
from 2021-08-11 to 2021-08-12, no change.
from 2021-08-12 to 2021-08-15, no change.
from 2021-08-15 to 2021-08-16, no change.
from 2021-08-16 to 2021-08-17, no change.
from 2021-08-17 to 2021-08-18, no change.
from 2021-08-18 to 2021-08-19, no change.
from 2021-08-19 to 2021-08-22, no change.
from 2021-08-22 to 2021-08-23, no change.
from 2021-08-23 to 2021-08-24, no change.
from 2021-08-24 to 2021-08-25, no change.
from 2021-08-25 to 2021-08-26, no change.
from 2021-08-26 to 2021-08-29, no change.
from 2021-08-29 to 2021-08-30, no change.
from 2021-08-30 to 2021-08-31, no change.
from 2021-08-31 to 2021-09-01, no change.
from 2021-09-01 to 2021-09-02, no change.
from 2021-09-02 to 2021-09-05, no change.
from 2021-09-05 to 2021-09-09, no change.
from 2021-09-09 to 2021-09-12, no change.
from 2021-09-12 to 2021-09-13, no change.
from 2021-09-13 to 2021-09-14, no change.
from 2021-09-14 to 2021-09-19, In stocks: ['TRLT']
from 2021-09-19 to 2021-09-22, no change.
from 2021-09-22 to 2021-09-23, no change.
from 2021-09-23 to 2021-09-26, no change.
from 2021-09-26 to 2021-09-29, no change.
from 2021-09-29 to 2021-09-30, no change.
from 2021-09-30 to 2021-10-03, no change.
from 2021-10-03 to 2021-10-04, no change.
from 2021-10-04 to 2021-10-05, no change.
from 2021-10-05 to 2021-10-06, no change.
from 2021-10-06 to 2021-10-07, no change.
from 2021-10-07 to 2021-10-10, In stocks: ['TRX']
from 2021-10-10 to 2021-10-11, no change.
from 2021-10-11 to 2021-10-12, no change.
from 2021-10-12 to 2021-10-13, no change.
